ID,系统/对象,玩家感知,建议音效,触发类型,触发条件,停止条件,推荐防抖/冷却,文件路径,类/方法,行号范围,代码证据,置信度,优先级,备注
"SFX-PLR-0001","Player / TickFixedStepCommand","起跳瞬间","起跳/离地声","OneShot","发送 PlayerJumpedEvent","不适用","0.05s","Assets/Scripts/Features/PlayerCharacter2D/Commands/TickFixedStepCommand.cs","TickFixedStepCommand.OnExecute()","L195-L212; L320-L329","this.SendEvent<PlayerJumpedEvent>();","High","P0","攀爬跳与普通跳可共用变体"
"SFX-PLR-0002","Player / TickFixedStepCommand","落地冲击","落地闷响","OneShot + Param Driven","Grounded=true 时发送 PlayerGroundedChangedEvent","不适用","0.1s","Assets/Scripts/Features/PlayerCharacter2D/Commands/TickFixedStepCommand.cs","TickFixedStepCommand.OnExecute()","L73-L81","PlayerGroundedChangedEvent { Grounded = true, ImpactSpeed = impact }","High","P0","用 ImpactSpeed 驱动强度"
"SFX-PLR-0003","Player / TickFixedStepCommand","攀爬开始/结束","抓握+摩擦循环","Start/Stop Pair","发送 PlayerClimbStateChangedEvent(IsClimbing)","IsClimbing=false","0.1s","Assets/Scripts/Features/PlayerCharacter2D/Commands/TickFixedStepCommand.cs","TickFixedStepCommand.OnExecute()","L283-L294","PlayerClimbStateChangedEvent { IsClimbing = model.IsClimbing.Value }","High","P1","可按材质做变体"
"SFX-PLR-0004","Player / MarkPlayerDeadCommand","死亡反馈","死亡提示音","OneShot","发送 PlayerDiedEvent","不适用","0.2s","Assets/Scripts/Features/DeathRespawn/Commands/MarkPlayerDeadCommand.cs","MarkPlayerDeadCommand.OnExecute()","L27-L34","this.SendEvent(new PlayerDiedEvent { ... });","High","P0","可按 Reason 区分"
"SFX-PLR-0005","Player / MarkPlayerRespawnedCommand","复活反馈","回归提示音","OneShot","发送 PlayerRespawnedEvent","不适用","0.2s","Assets/Scripts/Features/DeathRespawn/Commands/MarkPlayerRespawnedCommand.cs","MarkPlayerRespawnedCommand.OnExecute()","L25-L29","this.SendEvent(new PlayerRespawnedEvent { WorldPos = _worldPos });","High","P1","可与视觉效果同步"
"SFX-ENM-0001","Enemy / BugMovementBase","虫子追光开始","嗡鸣加速","OneShot","TransitionTo(BugState.ChaseLight, true)","不适用","0.2s","Assets/Scripts/Features/BugAI/Controllers/BugMovementBase.cs","BugMovementBase.TryAcquireLamp()","L290-L299","TransitionTo(BugState.ChaseLight, true);","Medium","P1","可作为追光循环 Start"
"SFX-ENM-0002","Enemy / BugMovementBase","虫子退回/冷却","嗡鸣降速","OneShot","TransitionTo(ReturnHome) 或 TransitionTo(Loiter)","不适用","0.2s","Assets/Scripts/Features/BugAI/Controllers/BugMovementBase.cs","UpdateChaseLight()/UpdateReturnHome()","L303-L313; L341-L348","TransitionTo(BugState.ReturnHome); / TransitionTo(BugState.Loiter);","Medium","P2","可作为追光循环 Stop"
"SFX-ENM-0003","Enemy / BugGrabInteraction","抓取/放手","抓握/放开声","Start/Stop Pair","NotifyPlayerGrabbed/NotifyPlayerReleased","放手或离开触发器","0.1s","Assets/Scripts/Features/BugAI/Controllers/BugGrabInteraction.cs","BugGrabInteraction.Update()/OnTriggerExit2D()","L69-L87; L108-L112","movement?.NotifyPlayerGrabbed(); / movement?.NotifyPlayerReleased();","High","P1","与抓取键反馈区分"
"SFX-ENM-0004","Enemy / BugStompInteraction","踩踏反弹","踩踏反馈","OneShot","OnTriggerEnter2D 且 enableStompResponse","不适用","0.1s","Assets/Scripts/Features/BugAI/Controllers/BugStompInteraction.cs","BugStompInteraction.OnTriggerEnter2D()","L25-L48","movement.ResetToHome();","High","P1","可叠加弹跳风声"
"SFX-ENM-0005","Enemy / GhostMechanism2D","幽灵漂浮","飘忽氛围循环","Loop","Update() 持续 StepMovement","禁用/销毁","无","Assets/Scripts/Features/Mechanisms/Controllers/GhostMechanism2D.cs","GhostMechanism2D.StepMovement()","L150-L190","StepMovement(dt);","Medium","P2","循环音注意层级"
